Player Name,Team,Shots,Goals,xG,% rate,G - xG
Marcus Coco,Nantes,1,1,0.24,100.0,0.76
Mamadou Diakhon,Reims,1,0,0.01,0.0,-0.01
Leo Leroy,Montpellier,1,0,0.61,0.0,-0.61
Maghnes Akliouche,Clermont,1,1,0.9,100.0,0.1
Leonardo Balerdi,Marseille,1,0,0.03,0.0,-0.03
Hianga'a M'Bock,Brest,1,0,0.05,0.0,-0.05
Nabil Bentaleb,Lille,1,0,0.01,0.0,-0.01
Nemanja Matić,Rennes,1,0,0.13,0.0,-0.13
Oualid El Hajjam,LeHavre,1,0,0.01,0.0,-0.01
Skelly Alvero,Lyon,1,0,0.01,0.0,-0.01
Dejan Lovren,Lyon,1,0,0.03,0.0,-0.03
Dembo Sylla,Lorient,1,0,0.11,0.0,-0.11
Sanjin Prcić,Strasbourg,1,0,0.01,0.0,-0.01
Samuel Grandsir,Montpellier,1,1,0.17,100.0,0.83
Eliesse Ben Seghir,Monaco,1,0,0.03,0.0,-0.03
Eliot Matazo,Monaco,1,0,0.08,0.0,-0.08
Emran Soglo,Marseille,1,1,0.08,100.0,0.92
Enzo Tchato Mbiayi,Montpellier,1,0,0.04,0.0,-0.04
Faitout Maouassa,Lens,1,0,0.02,0.0,-0.02
Falaye Sacko,Montpellier,1,0,0.02,0.0,-0.02
Rassoul Ndiaye,Montpellier,1,0,0.02,0.0,-0.02
Lovro Majer,Rennes,1,0,0.03,0.0,-0.03
Gabriel Suazo,Toulouse,1,0,0.02,0.0,-0.02
Przemysław Frankowski,Brest,1,0,0.05,0.0,-0.05
Gautier Lloris,Montpellier,1,1,0.28,100.0,0.72
Gedeon Kalulu,Lorient,1,0,0.02,0.0,-0.02
Pablo Rosario,Nice,1,0,0.01,0.0,-0.01
Oussama Targhalline,Montpellier,1,0,0.02,0.0,-0.02
Abakar Sylla,Strasbourg,1,0,0.02,0.0,-0.02
